2017-06-23 02:38:14,007, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:16,763, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:19,235, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:21,554, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:24,370, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:26,759, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:28,943, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:31,440, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:32,817, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:35,558, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:38,444, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:41,183, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:43,518, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:45,930, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:48,271, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:51,128, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:53,389, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:55,851, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:38:58,321, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:00,752, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:03,124, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:05,709, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:08,207, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:10,716, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:13,198, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:15,704, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:18,230, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:20,575, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:22,990, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:25,412, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:27,968, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:30,482, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:32,780, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:35,197, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:37,482, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:39,929, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:42,234, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:44,627, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:47,136, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:49,781, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:52,697, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:54,893, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:39:57,563, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:00,152, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:02,489, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:04,917, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:07,448, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:10,068, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:12,688, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:15,202, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:18,123, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:20,639, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:22,884, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:25,455, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:27,983, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:30,849, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:33,237, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:50,617, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:53,080, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:55,599, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:40:58,133, [MainProcess], airflow_app, INFO, start the session
2017-06-23 02:41:00,747, [MainProcess], airflow_app, INFO, start the session
